docNo,customer,date,total,discount,lineNo,product,qty,price,lineAmt
SI-862,C-114,2016/10/16,8707.20,29,1,P-7964,192,4.33,831.36
SI-862,C-114,2016/10/16,8707.20,29,2,P-1461,121,75.83,9175.43
SI-862,C-114,2016/10/16,8707.20,29,3,P-5327,61,0.03,1.83
SI-862,C-114,2016/10/16,8707.20,29,4,P-4957,32,70.47,2255.04
SI-548,C-178,2016/8/27,37743.35,12,1,P-7480,75,39.28,2946.00
SI-548,C-178,2016/8/27,37743.35,12,2,P-9366,104,0.58,60.32
SI-548,C-178,2016/8/27,37743.35,12,3,P-2047,195,2.41,469.95
SI-548,C-178,2016/8/27,37743.35,12,4,P-8941,12,0.77,9.24
SI-548,C-178,2016/8/27,37743.35,12,5,P-6098,2,23.17,46.34
SI-548,C-178,2016/8/27,37743.35,12,6,P-6801,107,0.48,51.36
SI-548,C-178,2016/8/27,37743.35,12,7,P-7369,116,64.48,7479.68
SI-548,C-178,2016/8/27,37743.35,12,8,P-8706,95,1.92,182.40
SI-548,C-178,2016/8/27,37743.35,12,9,P-3083,198,1.20,237.60
SI-548,C-178,2016/8/27,37743.35,12,10,P-3832,72,0.10,7.20
SI-548,C-178,2016/8/27,37743.35,12,11,P-7431,10,1.09,10.90
SI-548,C-178,2016/8/27,37743.35,12,12,P-0674,33,932.30,30765.90
SI-548,C-178,2016/8/27,37743.35,12,13,P-7884,168,3.71,623.28
SI-758,C-398,2016/9/7,101821.01,5,1,P-2313,184,2.59,476.56
SI-758,C-398,2016/9/7,101821.01,5,2,P-8706,134,1.92,257.28
SI-758,C-398,2016/9/7,101821.01,5,3,P-8866,72,324.27,23347.44
SI-758,C-398,2016/9/7,101821.01,5,4,P-4590,60,386.97,23218.20
SI-758,C-398,2016/9/7,101821.01,5,5,P-9366,99,0.58,57.42
SI-758,C-398,2016/9/7,101821.01,5,6,P-2161,104,173.62,18056.48
SI-758,C-398,2016/9/7,101821.01,5,7,P-3501,207,4.57,945.99
SI-758,C-398,2016/9/7,101821.01,5,8,P-3158,67,608.51,40770.17
SI-758,C-398,2016/9/7,101821.01,5,9,P-7568,108,0.42,45.36
SI-758,C-398,2016/9/7,101821.01,5,10,P-6278,73,0.07,5.11
SI-573,C-000,2016/4/3,514.16,5,1,P-2047,108,2.41,260.28
SI-573,C-000,2016/4/3,514.16,5,2,P-5284,118,1.58,186.44
SI-573,C-000,2016/4/3,514.16,5,3,P-2479,175,0.54,94.50
SI-842,C-785,2015/10/13,53934.02,20,1,P-9519,87,690.20,60047.40
SI-842,C-785,2015/10/13,53934.02,20,2,P-9452,158,3.26,515.08
SI-842,C-785,2015/10/13,53934.02,20,3,P-2047,80,2.41,192.80
SI-842,C-785,2015/10/13,53934.02,20,4,P-3698,77,1.24,95.48
SI-842,C-785,2015/10/13,53934.02,20,5,P-9601,5,19.09,95.45
SI-842,C-785,2015/10/13,53934.02,20,6,P-9828,184,34.81,6405.04
SI-842,C-785,2015/10/13,53934.02,20,7,P-4758,117,0.29,33.93
SI-842,C-785,2015/10/13,53934.02,20,8,P-4291,77,0.42,32.34
SI-323,C-653,2016/11/26,6215.32,24,1,P-7964,79,4.33,342.07
SI-323,C-653,2016/11/26,6215.32,24,2,P-2090,132,9.61,1268.52
SI-323,C-653,2016/11/26,6215.32,24,3,P-6533,56,0.22,12.32
SI-323,C-653,2016/11/26,6215.32,24,4,P-4775,28,59.89,1676.92
SI-323,C-653,2016/11/26,6215.32,24,5,P-0228,114,7.52,857.28
SI-323,C-653,2016/11/26,6215.32,24,6,P-6278,100,0.07,7.00
SI-323,C-653,2016/11/26,6215.32,24,7,P-6098,117,23.17,2710.89
SI-323,C-653,2016/11/26,6215.32,24,8,P-4291,11,0.42,4.62
SI-323,C-653,2016/11/26,6215.32,24,9,P-7758,66,9.90,653.40
SI-323,C-653,2016/11/26,6215.32,24,10,P-2154,11,15.62,171.82
SI-323,C-653,2016/11/26,6215.32,24,11,P-5489,88,4.04,355.52
SI-323,C-653,2016/11/26,6215.32,24,12,P-3083,33,1.20,39.60
SI-323,C-653,2016/11/26,6215.32,24,13,P-9419,137,0.57,78.09
SI-657,C-797,2014/10/22,4008.19,39,1,P-1198,157,0.71,111.47
SI-657,C-797,2014/10/22,4008.19,39,2,P-0770,115,31.69,3644.35
SI-657,C-797,2014/10/22,4008.19,39,3,P-8676,111,9.17,1017.87
SI-657,C-797,2014/10/22,4008.19,39,4,P-1818,216,8.32,1797.12
SI-114,C-237,2015/7/8,171702.42,17,1,P-0746,203,981.15,199173.45
SI-114,C-237,2015/7/8,171702.42,17,2,P-8213,114,0.39,44.46
SI-114,C-237,2015/7/8,171702.42,17,3,P-8676,174,9.17,1595.58
SI-114,C-237,2015/7/8,171702.42,17,4,P-0759,179,0.65,116.35
SI-114,C-237,2015/7/8,171702.42,17,5,P-8265,63,84.56,5327.28
SI-114,C-237,2015/7/8,171702.42,17,6,P-8016,40,0.27,10.80
SI-114,C-237,2015/7/8,171702.42,17,7,P-4000,187,0.18,33.66
SI-114,C-237,2015/7/8,171702.42,17,8,P-9271,72,7.90,568.80
SI-716,C-237,2014/5/20,87378.67,16,1,P-2402,38,6.25,237.50
SI-716,C-237,2014/5/20,87378.67,16,2,P-9828,64,34.81,2227.84
SI-716,C-237,2014/5/20,87378.67,16,3,P-3698,183,1.24,226.92
SI-716,C-237,2014/5/20,87378.67,16,4,P-8541,6,581.72,3490.32
